No.,Alloy,Tg,Tx,Tl,GFA,Ref.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,Y
1,Cu60Zr33Ti7,740.0,768.0,1191.0,3.0,1,0.621326616,28.0,0.64483627,1.65916445,3.17623191,0.39772139,0.66834593,1.70288248,0.38901238,0.19709941,0.40632976,0.96364331,0.65778495,0.48559812,0.06208426,0.11580012,0.69185558,3.0
2,Cu54Ag6Zr33Ti7,709.0,738.0,1135.0,6.0,1,0.624669604,29,0.65022026,1.66557228,3.31987387,0.40021692,0.67577093,1.73239437,0.39548578,0.19172413,0.40950347,0.97618369,0.66396500,0.48018953,0.06807512,0.13045575,0.70132159,6.0
3,Cu46.4Ag11.6Zr35Ti7,689.0,732.0,1119.0,6.0,1,0.615728329,43,0.65415550,1.67813762,3.36750596,0.40486726,0.69258266,1.70232558,0.41410433,0.17908869,0.41869260,1.00167230,0.67447150,0.46761965,0.10000000,0.19781797,0.73100983,6.0
4,Cu44.25Ag14.75Zr35Ti6,693.0,730.0,1112.0,8.0,1,0.623201439,37,0.65647482,1.67659249,3.46680464,0.40443213,0.68974820,1.74224344,0.40987973,0.18144803,0.41639522,0.99886954,0.67388637,0.46992935,0.08830549,0.17571476,0.72302158,8.0
5,Cu44.25Ag14.75Zr36Ti5,700.0,734.0,1115.0,10.0,1,0.627802691,34,0.65829596,1.67637412,3.53951819,0.40440771,0.68878924,1.76867470,0.40735743,0.18232861,0.41535965,0.99752626,0.67412422,0.47075333,0.08192771,0.16395588,0.71928251,10.0
6,Cu49Hf42Al9,778.0,863.0,1249.0,10.0,2,0.622898319,85,0.69095276,1.73215282,4.50625520,0.42575234,0.75900721,1.83227176,0.45385172,0.13386947,0.44886364,1.08038388,0.72139195,0.42235382,0.18046709,0.44383742,0.82706165,10.0
7,Cu47Zr11Ni8Ti34,671.0,717.0,1160.0,3.0,3,0.578448276,46,0.61810345,1.64700267,2.45151313,0.39158930,0.65775862,1.46625767,0.39429165,0.20291097,0.40649973,0.94599253,0.64260448,0.49088358,0.09406953,0.15727978,0.69741379,3.0
8,Cu60Zr30Ti10,713.0,750.0,1151.0,4.0,3,0.619461338,37,0.65160730,1.67135475,3.32553902,0.40236052,0.68375326,1.71232877,0.40576562,0.18564521,0.41399264,0.98966407,0.66879467,0.47415795,0.08447489,0.16405993,0.71589922,4.0
9,Cu60Hf25Ti15,730.0,795.0,1160.0,4.0,3,0.629310345,65,0.68534483,1.71835144,4.35616438,0.42063492,0.74137931,1.84883721,0.44530371,0.14575222,0.43989770,1.06585814,0.71107135,0.43415411,0.15116279,0.35616438,0.79741379,4.0
10,(Cu60Zr30Ti10)98Y2,707.0,757.0,1122.0,5.0,3,0.630124777,50,0.67468806,1.70084614,4.01725652,0.41388737,0.71925134,1.82409639,0.43143194,0.16084975,0.42948377,1.04038422,0.69617498,0.44923843,0.12048193,0.26534059,0.76381462,5.0
